Hotel Name,Location,County or Region,Country,Hotel Description,Price Range,Amenities,Hotel Category,Contact Information,Website URL,Source URL
Redbrick Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Silanga Road, Nairobi",No website available,https://www.openstreetmap.org/node/701434459
La Mada,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/703562850
Samra Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/720900800
Ngong Hills Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ngong Road, Nairobi",No website available,https://www.openstreetmap.org/node/771252810
Sankara Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"03, Woodvale Grove, Nairobi",https://sankara.com/,https://www.openstreetmap.org/node/968570105
Margarita House,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1078529085
Giraffe Manor,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Gogo Falls Road, Nairobi",No website available,https://www.openstreetmap.org/node/1078542346
Oak Place Conference and Training Centre,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Kigwa Road, Nairobi",No website available,https://www.openstreetmap.org/node/1116175855
Jimlizer Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Mumias South Road, Buruburu",No website available,https://www.openstreetmap.org/node/1276749986
Kenya Comfort Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ralph Bunche Road, Nairobi",No website available,https://www.openstreetmap.org/node/1333649594
Hill Joy Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1419004981
Ambassador Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Moi Avenue, Nairobi",No website available,https://www.openstreetmap.org/node/1507553629
Muthaiga Country Club,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Muthaiga Road, Nairobi",https://www.mcc.co.ke/,https://www.openstreetmap.org/node/1508496993
The Bounty Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1578603782
Community Hotel and Restaurant,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1809764828
Bidii Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1828341186
Greton Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Tsavo Road, Nairobi",No website available,https://www.openstreetmap.org/node/1843448612
Appleton Resort,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1865385825
Heritage Hotels,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1865392460
Utalii Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,http://www.utaliihotel.co.ke/,https://www.openstreetmap.org/node/1875653418
Nomad Paradise Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"General Waruingi Street, Nairobi",https://nomadparadisehotel.co.ke/,https://www.openstreetmap.org/node/1997615253
CHAK guest house,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,Bernard Estate,No website available,https://www.openstreetmap.org/node/2299690859
The Lexx Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Outer Ring Road, Nairobi",No website available,https://www.openstreetmap.org/node/2330383415
Luke Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Thika Road, Nairobi",No website available,https://www.openstreetmap.org/node/2344361843
Sirona Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,No contact information available,www.sironahotel.com,https://www.openstreetmap.org/node/2388342442
Blue Springs Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Thika Road, Nairobi",No website available,https://www.openstreetmap.org/node/2510966665
Tara Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"United Nations Crescent, Nairobi",No website available,https://www.openstreetmap.org/node/2541863281
Shalom House,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2547506529
Summerdale Inn,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Gandhi Avenue, Nairobi",No website available,https://www.openstreetmap.org/node/2680561388
EKA Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Mombasa Road, Nairobi",No website available,https://www.openstreetmap.org/node/3045694744
New Kenya Lodge,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"River Road, Nairobi",No website available,https://www.openstreetmap.org/node/3294731407
Hotel Green Court,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Latema Road, Nairobi",No website available,https://www.openstreetmap.org/node/3294733098
Ngong House Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"60 Ndovu Rd, Nairobi City",No website available,https://www.openstreetmap.org/node/3689425951
Khweza Bed & Breakfast,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ngara Road, Nairobi",http://khweza.com/,https://www.openstreetmap.org/node/3808538848
Dusit D2,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"14, Riverside Park, NAIROBI",No website available,https://www.openstreetmap.org/node/3835620041
Nairobi Airport Inn,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/3953587082
West Wood Hotel Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,+254 20 217 3830,http://westwoodhotelkenya.com/,https://www.openstreetmap.org/node/4207053836
Nairobi Transit Lounge,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4225412789
Jaffers,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4297684293
Fedha Residence,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4316258791
Prearea hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4344639590
Lotos Inn & Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"19, Mpaka road, Nairobi",https://lotos.co.ke/,https://www.openstreetmap.org/node/4427474554
Saab Royale Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4447813053
Karen Crescent Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"KUFUKA ROAD KAREN P.O.BOX 53928-00200, Nairobi, Langata Road, Nairobi",No website available,https://www.openstreetmap.org/node/4460202363
Emerald Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"6th Flr, Krishna Centre,, Woodvale Grove, Nairobi",No website available,https://www.openstreetmap.org/node/4534024866
Jamia Central Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Tubman Road, Nairobi",No website available,https://www.openstreetmap.org/node/4566588389
Arkland Palace Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4974963309
Eron Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,Kirinyaga Road,No website available,https://www.openstreetmap.org/node/4984233687
Tawi Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Luthuli Avenue, Nairobi",No website available,https://www.openstreetmap.org/node/5001805025
Ginza restaurant,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5054427023
Radisson Blu Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"Elgon Road, Nairobi City",No website available,https://www.openstreetmap.org/node/5068428125
Nairobi Forest Lodge,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5110352021
Hilton Garden Inn Nairobi Airport,Nairobi,Nairobi County,Kenya,"A hotel located in Nairobi, rated 4 stars.",Check website,internet access,4-star,"Mombasa Road, Nairobi",https://www.hilton.com/en/hotels/nboapgi-hilton-garden-inn-nairobi-airport/,https://www.openstreetmap.org/node/5149146395
Palm Tree Bed & Breakfast,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"George Padmore Road, Nairobi",http://palmtree.co.ke,https://www.openstreetmap.org/node/5173020627
Phoenicia Hotel Kiambu,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5327820988
Mvuli Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5328502134
Reymark Hotels & Restaurants,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5329699676
Moran Lounge,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Kiambu Road, KIAMBU",No website available,https://www.openstreetmap.org/node/5331537411
Jade Valley,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5333061188
Grevilea Court,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5333086584
The Panari Residence,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5333131656
Soluxe Club Kenya,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Apple Cross Road, Nairobi",No website available,https://www.openstreetmap.org/node/5339126544
Elizabeth Klemenik,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5339151811
"Hotel RiverView, Westlands",Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5339369906
Alliance Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Waiyaki Way Service Road, Nairobi",No website available,https://www.openstreetmap.org/node/5339380500
Red Ruby Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ojijo Road, Nairobi",No website available,https://www.openstreetmap.org/node/5339423497
The Zehneria Portico Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"10,, Karuna road, Nairobi",No website available,https://www.openstreetmap.org/node/5340440368
Ruchira,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5340597402
The Concord Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5340914881
West Park Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Taza Lane, Nairobi",No website available,https://www.openstreetmap.org/node/5340994791
Ridgeways Park Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ridgeways Springs, Nairobi",No website available,https://www.openstreetmap.org/node/5348847782
Gigiri Express Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,"internet access, air conditioning",Unrated,"United Nations Avenue, Nairobi",No website available,https://www.openstreetmap.org/node/5352497170
Shanema Homes,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"UN Close, Nairobi",No website available,https://www.openstreetmap.org/node/5352705125
Gigiri Homestead,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"UN Close, Nairobi",No website available,https://www.openstreetmap.org/node/5352705126
Magna Hotel & Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"United Nations Crescent, Nairobi",No website available,https://www.openstreetmap.org/node/5352705128
Limuru Road Express Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Limuru Road, Nairobi",No website available,https://www.openstreetmap.org/node/5352811664
The Bedelle,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"No. 551 Runda Crescent, Nairobi",No website available,https://www.openstreetmap.org/node/5352866913
Nairobi Runda Villa,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Runda Gardens Hibiscus Drive PO BOX 39803, Gigiri",No website available,https://www.openstreetmap.org/node/5352873570
Bermuda Garden Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Soit Ololol Road, Nairobi",No website available,https://www.openstreetmap.org/node/5356215606
Karen Inn & Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5356748009
Bush House & Camp,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"silanga Avenue, Fair Acres Road Off Karen/Langata Road, Nairobi",No website available,https://www.openstreetmap.org/node/5356748010
Cold Springs Karen Boutique Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Marula Ln, Nairobi",No website available,https://www.openstreetmap.org/node/5356833202
Karen Camp,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Acacia Drive off Marula Lane, Off Karen Road, Nairobi, Kenya, Nairobi",No website available,https://www.openstreetmap.org/node/5356849304
Karen Blixen Camp,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"P.O. Box 9913,NAIROBI., 40 Marula Ln, Nairobi City",No website available,https://www.openstreetmap.org/node/5356853095
Disney Calabash Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ngong Road, Karen, Nairobi",No website available,https://www.openstreetmap.org/node/5360683976
Mbogani Cottages,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,Mbogani Cottages,No website available,https://www.openstreetmap.org/node/5360972256
Collingham Gardens,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Masai W Rd, Nairobi",No website available,https://www.openstreetmap.org/node/5360972285
House of Waine.,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Masai Lane, Nairobi",No website available,https://www.openstreetmap.org/node/5360972290
Karen Getaway,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,Karen Getaway,No website available,https://www.openstreetmap.org/node/5360972294
Blue Safari Club,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Masai West Road, 25, Karen Hardy Area, P.O.Box 15026, Nairobi",No website available,https://www.openstreetmap.org/node/5360981057
Passionist Retreat House,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"133, Ushirika Rd, Nairobi",No website available,https://www.openstreetmap.org/node/5360981065
The Safari Collection,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Giraffe Manor, Nairobi",No website available,https://www.openstreetmap.org/node/5361484411
Macushla House Ltd,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"P.O. Box 42510 Nguruwe Rd, Nairobi, Nguruwe Road, Nairobi",No website available,https://www.openstreetmap.org/node/5361484414
Royale Club Karen,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Kuro Rd, Nairobi",No website available,https://www.openstreetmap.org/node/5361537065
Karen Embers,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Fana Rd, Nairobi City",No website available,https://www.openstreetmap.org/node/5361637313
Palatial Gardens,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5361637314
Bush Camp Hotel Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Fair Acres Rd, Nairobi City",No website available,https://www.openstreetmap.org/node/5361660120
Fair Acres Guest House,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"35, Fair Acres Road, Karen",No website available,https://www.openstreetmap.org/node/5361662221
AA Lodges,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Kufuga Road, Nairobi",No website available,https://www.openstreetmap.org/node/5361662231
Naibor Camp,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"69 Kisembe Rd, Nairobi, Kisembe Lane, Nairobi",No website available,https://www.openstreetmap.org/node/5370854835
Rock House,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ndovu Rd, Nairobi, Ndovu Close, Nairobi",No website available,https://www.openstreetmap.org/node/5370854860
Kolping Conference Centre,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Papai Road, Off, Magadi Rd, Ongata Rongai",No website available,https://www.openstreetmap.org/node/5370854912
Swara Safari Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5370854914
"Bali's Best Resort, Nairobi Kenya",Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Magadi Road, Nairobi",No website available,https://www.openstreetmap.org/node/5370855121
Hotel Troy Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Seminary Road, Nairobi",No website available,https://www.openstreetmap.org/node/5370855161
Stedmak Gardens And Recreation Centre,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"Mokoyeti Road East, Nairobi",https://stedmak.com/,https://www.openstreetmap.org/node/5371741548
Mokoyeti Downs,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Academy Rd, Nairobi, Nairobi",No website available,https://www.openstreetmap.org/node/5371741554
The Team House,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5372291830
Karen Bomas Inn,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Gaens, Muiri Rd,, Muiri Rd, Nairobi",No website available,https://www.openstreetmap.org/node/5372292637
Aunt Ha's Cozy Home,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Sunvalley Estate, House 59, Nairobi",No website available,https://www.openstreetmap.org/node/5372339351
Hotel Rio Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Corner of Birongo Square and Muthaiti Ave, Nairobi West, Nairobi, Kenya, Nairobi",No website available,https://www.openstreetmap.org/node/5372486936
Hotel Lazinos,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Gandhi Ave, Nairobi City",No website available,https://www.openstreetmap.org/node/5372486937
Cider Wood Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Gandhi Avenue, Nairobi",No website available,https://www.openstreetmap.org/node/5372486938
West Breeze Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"05, Masaba Rd, Nairobi",No website available,https://www.openstreetmap.org/node/5378414071
Mawensi Gardens Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"BayHill Gardens Apartment, 0100 Mawensi Rd, Nairobi",No website available,https://www.openstreetmap.org/node/5378425126
Kamake Garden,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Mawesi Road, Upper Hill",No website available,https://www.openstreetmap.org/node/5378425129
Serena Hotels Sales Centre,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Serena Hotels, 4th Avenue Ngong, Nairobi",No website available,https://www.openstreetmap.org/node/5383793250
Hadassah Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Opposite upper hill medical centre, near Nairobi Hospital, Ralph Bunche Rd, Nairobi, Ralph Bunche Road, Nairobi",No website available,https://www.openstreetmap.org/node/5383793277
Hurlingham Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Argwings Kodhek Road, Nairobi",No website available,https://www.openstreetmap.org/node/5414335616
Swiss Lenana Mount Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ralph Bunche Road, Nairobi",No website available,https://www.openstreetmap.org/node/5416191456
Hotel Africana 2006,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5448172340
United Kenya Club,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5482420879
Taran Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Sergeant Kahande Street, Nairobi",No website available,https://www.openstreetmap.org/node/5494261905
